1,VE_15,VE_16,VEVE,0.0000,0.1630,0.1853,-0.3520,-0.2659,-0.4400,0.0000,0.0000
2,VE_15,VE_17,VEVE,0.1246,0.4268,0.4908,0.0347,-0.0366,0.2105,0.1246,0.0000
3,VE_15,VE_18,VEVE,0.0000,-0.3010,-0.2220,-0.3683,-0.3466,-0.2162,0.0000,0.0000
4,VE_15,VE_19,VEVE,0.0000,0.0404,-0.1201,-0.3015,-0.2489,-0.6000,0.0000,0.0000
5,VE_15,VE_20,VEVE,0.0000,-0.2291,-0.3238,-0.4576,-0.2198,-0.6981,0.0000,0.0000
6,VE_15,VE_21,VEVE,0.1711,0.5339,0.3890,0.0563,0.1106,0.1818,0.2486,0.0000
7,VE_15,VE_22,VEVE,0.0000,0.2786,0.2872,-0.1093,-0.1036,-0.1613,0.0000,0.0000
8,VE_15,VE_23,VEVE,0.1324,0.1170,0.0835,0.1691,0.1395,-0.1150,0.1773,0.0000
9,VE_15,VE_24,VEVE,0.0000,0.3343,0.2872,-0.0074,-0.0844,0.1111,0.0000,0.0000
10,VE_15,VE_25,VEVE,0.0606,-0.0253,0.0835,0.0977,0.0196,-0.1474,0.0689,0.0000
11,VE_15,VE_26,VEVE,0.0000,0.2763,0.1853,-0.1061,0.0348,-0.1192,0.0000,0.0000
12,VE_15,VE_27,VEVE,0.2588,0.1657,0.1853,0.2110,0.2936,-0.0370,0.3101,0.0000
13,VE_15,VE_28,VEVE,0.0679,0.1938,0.2872,0.0831,-0.0049,0.0270,0.1417,0.0000
14,VE_15,VE_29,VEVE,0.0000,0.2816,0.3890,-0.0120,0.0442,0.0400,0.0000,0.0000
15,VE_15,VE_30,VEVE,0.0000,0.2090,0.1853,-0.0120,-0.0751,0.0870,0.0000,0.0000
16,VE_15,VE_31,VEVE,0.0013,0.4375,0.2872,-0.0637,-0.0232,0.0476,0.0013,0.0000
17,VE_15,VE_32,VEVE,0.3855,0.6310,0.5927,0.4330,0.2535,0.2059,0.4869,0.0000
18,VE_16,VE_17,VEVE,0.2785,0.4384,0.4908,0.1947,0.1149,0.3728,0.2785,0.0000
19,VE_16,VE_18,VEVE,0.0000,-0.3689,-0.2220,-0.2531,-0.1555,-0.2169,0.0000,0.0000
20,VE_16,VE_19,VEVE,0.0699,0.1107,-0.0183,-0.0025,0.0268,-0.0544,0.1102,0.0000
21,VE_16,VE_20,VEVE,0.5000,0.4121,0.3890,0.5439,0.4091,0.3358,0.5000,0.0000
22,VE_16,VE_21,VEVE,0.0000,0.2039,0.1853,-0.0932,-0.0943,-0.0723,0.0000,0.0000
23,VE_16,VE_22,VEVE,0.0000,-0.0862,-0.0183,-0.3618,-0.1032,-0.1755,0.0000,0.0000
24,VE_16,VE_23,VEVE,0.0000,-0.4369,-0.6293,-0.3996,-0.4892,-0.6421,0.0000,0.0000
25,VE_16,VE_24,VEVE,0.4175,0.4035,0.4908,0.2653,0.2786,0.4040,0.4175,0.0000
26,VE_16,VE_25,VEVE,0.0000,-0.1357,-0.2220,-0.2212,-0.1876,-0.1613,0.0000,0.0000
27,VE_16,VE_26,VEVE,0.0000,-0.1074,-0.0183,-0.2010,-0.2892,-0.4286,0.0000,0.0000
28,VE_16,VE_27,VEVE,0.1080,-0.0566,-0.0183,0.2615,0.0022,-0.1921,0.1960,0.0000
29,VE_16,VE_28,VEVE,0.0000,-0.1710,-0.1201,-0.2849,-0.1156,-0.1321,0.0000,0.0000
30,VE_16,VE_29,VEVE,0.2708,0.3280,0.3890,0.1954,0.0753,0.2394,0.2708,0.0000
31,VE_16,VE_30,VEVE,0.0359,0.0825,0.1853,0.0028,0.1136,0.1403,0.0359,0.0000
32,VE_16,VE_31,VEVE,0.4051,0.4218,0.4908,0.1863,0.1330,0.2742,0.4051,0.0000
33,VE_16,VE_32,VEVE,0.0000,0.1359,-0.0183,-0.2765,-0.1794,-0.2923,0.0000,0.0000
34,VE_17,VE_18,VEVE,0.0000,-0.1567,-0.1201,-0.1685,-0.1362,0.0294,0.0000,0.0000
35,VE_17,VE_19,VEVE,0.0290,0.0390,0.0835,-0.0672,0.1103,0.1370,0.0290,0.0000
36,VE_17,VE_20,VEVE,0.0000,-0.4597,-0.4256,-0.4856,-0.4501,-0.4444,0.0000,0.0000
37,VE_17,VE_21,VEVE,0.0000,0.1691,0.0835,-0.1793,-0.2308,0.0000,0.0000,0.0000
38,VE_17,VE_22,VEVE,0.0000,-0.0146,0.0835,-0.2477,-0.1086,0.0336,0.0000,0.0000
39,VE_17,VE_23,VEVE,0.0000,-0.1206,-0.1201,-0.1544,-0.0444,-0.0651,0.0000,0.0000
40,VE_17,VE_24,VEVE,0.5000,0.5286,0.5927,0.4424,0.3380,0.5944,0.5000,0.0000
41,VE_17,VE_25,VEVE,0.0313,0.1572,0.2872,0.1630,0.2399,0.3058,0.1969,0.0000
42,VE_17,VE_26,VEVE,0.1165,0.2191,0.2872,0.0426,0.0289,0.1738,0.1213,0.0000
43,VE_17,VE_27,VEVE,0.0000,-0.3521,-0.3238,-0.2559,-0.3994,-0.3183,0.0000,0.0000
44,VE_17,VE_28,VEVE,0.0000,0.0702,0.1853,-0.0307,0.1019,0.2237,0.0000,0.0000
45,VE_17,VE_29,VEVE,0.4100,0.6533,0.6945,0.5532,0.3664,0.6795,0.6007,0.0000
46,VE_17,VE_30,VEVE,0.0000,-0.1322,-0.1201,-0.2629,-0.2728,-0.0206,0.0000,0.0000
47,VE_17,VE_31,VEVE,0.0000,0.2070,0.1853,-0.1117,-0.2535,0.0432,0.0000,0.0000
48,VE_17,VE_32,VEVE,0.0000,0.2593,0.2872,-0.0552,0.0252,0.1290,0.0000,0.0000
49,VE_18,VE_19,VEVE,0.0000,-0.5235,-0.4256,-0.1405,-0.2313,-0.3000,0.0000,0.0000
50,VE_18,VE_20,VEVE,0.0000,-0.3946,-0.3238,-0.1110,-0.1052,-0.1020,0.0000,0.0000
51,VE_18,VE_21,VEVE,0.0000,-0.3857,-0.3238,-0.2667,-0.3343,-0.2135,0.0000,0.0000
52,VE_18,VE_22,VEVE,0.3308,0.3175,0.3890,0.1873,0.2237,0.5082,0.3595,0.0000
53,VE_18,VE_23,VEVE,0.0901,-0.4248,-0.4256,-0.0622,-0.1696,-0.0640,0.1463,0.0000
54,VE_18,VE_24,VEVE,0.0968,-0.0672,-0.0183,-0.0311,0.0140,0.2340,0.1139,0.0000
55,VE_18,VE_25,VEVE,0.0558,-0.2712,-0.2220,-0.0343,0.0043,-0.0023,0.0649,0.0000
56,VE_18,VE_26,VEVE,0.1784,0.1710,0.1853,0.5222,0.3946,0.2279,0.2571,0.0000
57,VE_18,VE_27,VEVE,0.0000,-0.7616,-0.7311,-0.2235,-0.4123,-0.3617,0.0000,0.0000
58,VE_18,VE_28,VEVE,0.1244,-0.0794,-0.0183,-0.0196,0.0446,0.2620,0.1373,0.0000
